directors,rate,title,casts,detailLink,year,types,country,lang,time,moveiTime,comment_len,starts,summary,imgList,movieUrl
傅东育,7.3,冰雨火,"陈晓,王一博,王劲松,刘奕君,赵昭仪",https://movie.douban.com/subject/34908108/,2022,"剧情,犯罪", 中国大陆, 汉语普通话,2022-08-11,37,104509,"35.4%,20.6%,26.2%,10.3%,7.4%",三年前，吴刚因涉毒被贩毒集团K所杀，其子吴振峰（陈晓 饰）因莽撞违纪被开除警籍。吴振峰心如死灰，被兄弟陈宇（王一博 饰）阻拦出境，途中二人险遭劫持，吴振峰为救陈宇被毒贩掳走，从此再无音讯，这一刻二人的命运被彻底改写。三年后，陈宇成为禁毒民警，不料吴振峰再度归来却与命案牵连。吴振峰洗刷嫌疑后，却被陈宇发觉他与贩毒集团有着千丝万缕的联系。为彻底歼灭贩毒集团，陈宇服从上级部门的安排，脱下警服开启禁毒生涯的新历程。与此同时他才得知吴振峰竟是潜伏在贩毒集团的孤胆英雄。陈宇与吴振峰先后打入贩毒集团内部，两人默契配合，并肩作战，最终在公安部署下将贩毒集团一网打尽。兄弟二人继续投身于公安禁毒事业中，不忘初心，牢记使命。,"https://img1.doubanio.com/view/photo/sqxs/public/p2617631749.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2617631733.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2617630773.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2620310640.jpg",https://vt1.doubanio.com/202305231424/cd7f55a13b0e95cc15cec7cf8b869a8c/view/movie/M/402930207.mp4
"闫非,彭大魔",7.8,夏洛特烦恼,"沈腾,马丽,尹正,艾伦,王智",https://movie.douban.com/subject/25964071/,2015,"喜剧,爱情", 中国大陆, 汉语普通话,2015-09-30,104,255553,"28.3%,42.5%,23.3%,4.2%,1.7%",在学生时代的初恋秋雅（王智 饰）的婚礼上，毕业后吃软饭靠老婆养的夏洛（沈腾 饰）假充大款，出尽其丑，中间还被老婆马冬梅（马丽 饰）戳穿暴捶。混乱之中，夏洛意外穿越时空，回到了1997年的学生时代的课堂里。他懵懵懂懂，以为是场真实感极强的梦，于是痛揍王老师，强吻秋雅，还尝试跳楼让自己醒来。当受伤的他从病床上苏醒时，他意识到自己真的穿越了时空。既然有机会重新来过，那不如好好折腾一回。他勇敢追求秋雅、奚落优等生袁华（尹正 饰）、拒绝马冬梅的死缠烂打。后来夏洛凭借“创作”朴树、窦唯等人的成名曲而进入娱乐圈。,"https://img9.doubanio.com/view/photo/sqxs/public/p2269778685.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2269778673.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2268716454.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2256588003.jpg",https://vt1.doubanio.com/202305231424/c2fe2653900e235064972be811e8b4a6/view/movie/M/301840420.mp4
吴锦源,5.6,有翡,"赵丽颖,王一博,张慧雯,陈若轩,周洁琼",https://movie.douban.com/subject/27069428/,2020,"剧情,武侠,古装", 中国大陆, 汉语普通话,2020-12-16,32,192291,"20.0%,10.9%,23.2%,21.0%,25.0%",北朝年间，各方势力割据，江湖动乱不安。“南刀”李徵（胡兵 饰）在湖湘地界建立门派四十八寨，收留落魄的武林人士，并从此避世而居。但随着李徵逝世，江湖名门也相继败落。 多年后，李徵的外孙女周翡（赵丽颖 饰）在洗墨江被一位自称谢允（王一博 饰）的青年男子意外救下，两人从此结下不解之缘。 半年后，周翡和谢允再次在霍家堡黑牢相遇，却同时遭到江湖黑暗势力“地煞山庄”几大高手的追杀，两人因此卷入一场江湖的阴谋浩劫中。 周翡受江湖前辈指点，始终磨砺自己的刀法、并凭着一股“狭路相逢勇者胜”的勇敢杀地煞、平叛乱、擒敌王、救流民；而谢允自始至终陪伴在周翡身边，为她指点进退，二人携手共进，生死不弃，一起平息了一场场江湖动乱。以周翡、谢允为代表的一辈江湖新秀们从此成长为真正的“有匪君子”，周翡也终成一代“南刀”少女宗师。,"https://img2.doubanio.com/view/photo/sqxs/public/p2572860922.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2572860912.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2579406300.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2594938434.jpg",https://vt1.doubanio.com/202305231424/ac87a08eb5e7cddee065d0d9b47b8d22/view/movie/M/402690801.mp4
曾晓欣,7.8,大嫁风尚,"乔振宇,杨紫,郭晓婷,巫刚,朱茵",https://movie.douban.com/subject/26377690/,2016,"剧情,爱情", 中国大陆, 汉语普通话,2016-06-29,62,21765,"32.3%,34.8%,25.5%,4.3%,3.1%",夏燃（杨紫 饰）和男友蒋剑南（郭鹏 饰）恋爱多年，感情十分稳定，然而某一日，蒋剑南居然在向夏燃提出分手后下落不明玩起了失踪，莫名被甩一头雾水的夏燃决心一定要找到蒋剑南问清事情的缘由，却在阴差阳错之下结识了蒋剑南的室友金志豪（乔振宇 饰）。,"https://img9.doubanio.com/view/photo/sqxs/public/p2363637644.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2363634914.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2266910542.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2363599572.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2363592998.jpg",0
彼得·威尔,9.4,楚门的世界,"金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩",https://movie.douban.com/subject/1292064/,1998,"剧情,科幻", 美国, 英语,1998-06-05,103,333685,"71.8%,24.6%,3.3%,0.2%,0.1%",楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。,"https://img9.doubanio.com/view/photo/sqxs/public/p764864325.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2614864522.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2614740719.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p1332031501.jpg",https://vt1.doubanio.com/202305231424/e97637fdf37b2541d700a54fa49f1476/view/movie/M/301200999.mp4
田晓鹏,7.3,深海,"苏鑫,王亭文,滕奎兴,杨婷,吉静",https://movie.douban.com/subject/26649682/,2023,"动画,奇幻", 中国大陆, 汉语普通话,2023-01-22,112,195572,"21.7%,34.4%,31.8%,9.2%,2.9%",在大海的最深处，藏着所有秘密。一位现代少女（参宿）误入梦幻的深海世界，却因此邂逅了一段独特的生命旅程。,"https://img1.doubanio.com/view/photo/sqxs/public/p2886877257.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2878145313.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2878145324.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2878231508.jpg",https://vt1.doubanio.com/202305231424/9f7369a638f54c959ec654021accb7d9/view/movie/M/402990770.mp4
涅提·蒂瓦里,9.0,摔跤吧！爸爸,"阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔,阿帕尔夏克提·库拉那,沙克希·坦沃",https://movie.douban.com/subject/26387939/,2016,"剧情,家庭,传记,运动", 印度," 印地语 , 英语",2017-05-05,161,314372,"59.5%,33.0%,6.8%,0.5%,0.2%",马哈维亚（阿米尔·汗 Aamir Khan 饰）曾经是一名前途无量的摔跤运动员，在放弃了职业生涯后，他最大的遗憾就是没有能够替国家赢得金牌。马哈维亚将这份希望寄托在了尚未出生的儿子身上，哪知道妻子接连给他生了两个女儿，取名吉塔（法缇玛·萨那·纱卡 Fatima Sana Shaikh 饰）和巴比塔（桑亚·玛荷塔 Sanya Malhotra 饰）。让马哈维亚没有想到的是，两个姑娘展现出了杰出的摔跤天赋，让他幡然醒悟，就算是女孩，也能够昂首挺胸的站在比赛场上，为了国家和她们自己赢得荣誉。,"https://img2.doubanio.com/view/photo/sqxs/public/p2573114013.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2573114182.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2458454034.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2457746352.jpg",https://vt1.doubanio.com/202305231424/3b6dae5fab1e5d24cdbcd226f0715850/view/movie/M/302160387.mp4
周星驰,8.8,功夫,"周星驰,元秋,元华,黄圣依,梁小龙",https://movie.douban.com/subject/1291543/,2004,"喜剧,动作,犯罪,奇幻"," 中国大陆 , 中国香港"," 粤语 , 汉语普通话 , 手语",2004-12-23,100,137950,"53.2%,35.0%,10.8%,0.8%,0.2%",1940年代的上海，自小受尽欺辱的街头混混阿星（周星驰）为了能出人头地，可谓窥见机会的缝隙就往里钻，今次他盯上行动日益猖獗的黑道势力“斧头帮”，想借之大名成就大业。,"https://img2.doubanio.com/view/photo/sqxs/public/p2543885202.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2454612947.jpg",https://vt1.doubanio.com/202305231424/64f1947fa1b0555125c6bc407535a542/view/movie/M/301680295.mp4
克里斯托弗·诺兰,9.4,星际穿越,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,麦肯吉·弗依,卡西·阿弗莱克",https://movie.douban.com/subject/1889243/,2014,"剧情,科幻,冒险"," 美国 , 英国 , 加拿大", 英语,2014-11-12,169,441473,"74.8%,20.8%,3.7%,0.4%,0.2%",近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀（马修·麦康纳 Matthew McConaughey 饰）接连在女儿墨菲（麦肯吉·弗依 Mackenzie Foy 饰）的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授（迈克尔·凯恩 Michael Caine 饰）的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德（安妮·海瑟薇 Anne Hathaway 饰）、罗米利（大卫·吉雅西 David Gyasi 饰）、多伊尔（韦斯·本特利 Wes B...,"https://img2.doubanio.com/view/photo/sqxs/public/p2208063011.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2211063036.jpg",https://vt1.doubanio.com/202305231424/b64982d6d65497d4d7673b2ee3eaae82/view/movie/M/402630852.mp4
罗伯·莱纳,9.1,怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,安东尼·爱德华兹,约翰·马奥尼",https://movie.douban.com/subject/3319755/,2010,"剧情,喜剧,爱情", 美国, 英语,2010-07-26,90,421899,"62.2%,30.5%,6.6%,0.5%,0.1%",布莱斯（卡兰•麦克奥利菲 Callan McAuliffe 饰）全家搬到小镇，邻家女孩朱丽（玛德琳•卡罗尔 Madeline Carroll 饰）前来帮忙。她对他一见钟情，心愿是获得他的吻。两人是同班同学，她一直想方设法接近他，但是他避之不及。她喜欢爬在高高的梧桐树上看风景。但因为施工，树被要被砍掉，她誓死捍卫，希望他并肩作战，但是他退缩了。她的事迹上了报纸，外公对她颇有好感，令他十分困惑。她凭借鸡下蛋的项目获得了科技展第一名，成了全场焦点，令他黯然失色。她把自家鸡蛋送给他，他听家人怀疑她家鸡蛋不卫生，便偷偷把鸡蛋丢掉。她得知真相，很伤心，两人关系跌入冰点。她跟家人诉说，引发争吵。原来父亲一直攒钱照顾傻弟弟，所以生活拮据。她理解了父母，自己动手，还得到了他外公的鼎力相助。他向她道歉，但是并未解决问题。他开始关注她。鸡蛋风波未平，家庭晚宴与午餐男孩评选...,"https://img2.doubanio.com/view/photo/sqxs/public/p2533778442.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2573719716.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2461578049.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p711963110.jpg",https://vt1.doubanio.com/202305231424/f90fe5052f4401bed9e62cdf7803e314/view/movie/M/301210020.mp4
辛爽,8.8,隐秘的角落,"秦昊,王景春,荣梓杉,史彭元,王圣迪",https://movie.douban.com/subject/33404425/,2020,"剧情,悬疑,犯罪", 中国大陆, 汉语普通话,2020-06-16,40,330161,"50.2%,39.7%,9.0%,0.8%,0.2%",该剧改编自紫金陈推理小说《坏小孩》 ，讲述了沿海小城的三个孩子在景区游玩时无意拍摄记录了一次谋杀，他们的冒险也由此展开。扑朔迷离的案情，将几个家庭裹挟其中，带向不可预知的未来......,"https://img1.doubanio.com/view/photo/sqxs/public/p2610644020.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2610644188.jpg",https://vt1.doubanio.com/202305231424/ebae87d3c8e7249fe1ec21b3e6124c44/view/movie/M/402620553.mp4
彼得·法雷里,8.9,绿皮书,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫",https://movie.douban.com/subject/27060077/,2018,"剧情,喜剧,音乐,传记"," 美国 , 中国大陆"," 英语 , 意大利语 , 俄语 , 德语",2019-03-01,130,391874,"54.9%,37.5%,7.1%,0.4%,0.1%",托尼（维果·莫腾森 Viggo Mortensen 饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里 Mahershala Ali 饰）的黑人钢琴家提出雇佣托尼。,"https://img1.doubanio.com/view/photo/sqxs/public/p2542144239.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2542144458.jpg",https://vt1.doubanio.com/202305231425/98153fb034076f8674a24205501f9145/view/movie/M/402430698.mp4
拉吉库马尔·希拉尼,9.2,三傻大闹宝莱坞,"阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达",https://movie.douban.com/subject/3793023/,2009,"剧情,喜剧,爱情,歌舞", 印度," 印地语 , 乌尔都语 , 英语",2011-12-08,171,362862,"68.9%,25.5%,4.9%,0.5%,0.2%",本片根据印度畅销书作家奇坦·巴哈特（Chetan Bhagat）的处女作小说《五点人》（Five Point Someone）改编而成。法兰（马德哈万 R Madhavan 饰）、拉杜（沙曼·乔希 Sharman Joshi 饰）与兰乔（阿米尔·汗 Aamir Khan 饰）是皇家工程学院的学生，三人共居一室，结为好友。在以严格著称的学院里，兰乔是个非常与众不同的学生，他不死记硬背，甚至还公然顶撞校长“病毒”（波曼·伊拉尼 Boman Irani 饰），质疑他的教学方法。他不仅鼓动法兰与拉杜去勇敢追寻理想，还劝说校长的二女儿碧雅（卡琳娜·卡普 Kareena Kapoor 饰）离开满眼铜臭的未婚夫。兰乔的特立独行引起了模范学生“消音器”（奥米·维嘉 Omi Vaidya 饰）的不满，他约定十年后再与兰乔一决高下，看哪种生活方式更能取得成功。,"https://img2.doubanio.com/view/photo/sqxs/public/p2571368413.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p1303106712.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p579722647.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p1303107905.jpg",https://vt1.doubanio.com/202305231425/8e9f426d07555122ef1a06f861202313/view/movie/M/301020952-1.mp4
刘海波,8.1,尘封十三载,"陈建斌,陈晓,啜妮,刘敏涛,左小青",https://movie.douban.com/subject/35725856/,2023,"悬疑,犯罪", 中国大陆, 汉语普通话,2023-04-06,32,34201,"28.9%,50.4%,17.7%,2.2%,0.8%",1997年未能侦破的特殊杀人案件在13年后重现，当年一直没有追查到真凶的刑警卫峥嵘（陈建斌 饰）备受打击离开一线，而曾经初出茅庐的新警陆行知（陈晓 饰）褪去稚嫩青涩，已成为缜密细致的刑侦能手，案件的重重巧合让师徒二人再次走到了一起，合力追缉真凶。,"https://img1.doubanio.com/view/photo/sqxs/public/p2890291607.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2880366962.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2890418846.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2890418845.jpg",https://vt1.doubanio.com/202305231425/3c35497a61f72b8ed626613fd8463738/view/movie/M/403020784.mp4
谢泽,6.3,风起洛阳,"黄轩,王一博,宋茜,宋轶,咏梅",https://movie.douban.com/subject/33442334/,2021,"剧情,悬疑,古装", 中国大陆, 汉语普通话,2021-12-01,46,114579,"10.2%,24.3%,42.8%,16.6%,6.0%",该剧改编自马伯庸所著的小说《洛阳》，讲述了在时值盛世的神都洛阳，出身不同阶层的高秉烛、百里弘毅、武思月因为共同的目标而结盟，调查洛阳各种悬案，最终粉碎春秋道的阴谋，守护神都太平的故事  。,"https://img2.doubanio.com/view/photo/sqxs/public/p2699398951.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2755649765.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2699398949.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2699398952.jpg",https://vt1.doubanio.com/202305231425/b1f3f2ab985ae23207fe9f1b32ed1302/view/movie/M/402830547.mp4
新海诚,8.5,你的名字。,"神木隆之介,上白石萌音,长泽雅美,市原悦子,成田凌",https://movie.douban.com/subject/26683290/,2016,"剧情,爱情,动画", 日本, 日语,2016-12-02,106,335532,"43.5%,38.7%,15.9%,1.6%,0.4%",在远离大都会的小山村，住着巫女世家出身的高中女孩宫水三叶（上白石萌音 配音）。校园和家庭的原因本就让她充满烦恼，而近一段时间发生的奇怪事件，又让三叶摸不清头脑。不知从何时起，三叶在梦中就会变成一个住在东京的高中男孩。那里有陌生的同学和朋友，有亲切的前辈和繁华的街道，一切都是如此诱人而真实。另一方面，住在东京的高中男孩立花泷（神木隆之介 配音）则总在梦里来到陌生的小山村，以女孩子的身份过着全新的生活。许是受那颗神秘彗星的影响，立花和三叶在梦中交换了身份。他们以他者的角度体验着对方的人生，这期间有愤怒、有欢笑也有暖心。只是两人并不知道，身份交换的背后隐藏着重大而锥心的秘密……,"https://img1.doubanio.com/view/photo/sqxs/public/p2293569209.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2395677306.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2376640643.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2494256118.jpg",https://vt1.doubanio.com/202305231839/33fe445c86358299c11336c2ae5df498/view/movie/M/302080103.mp4
姜文,9.0,让子弹飞,"姜文,葛优,周润发,刘嘉玲,陈坤",https://movie.douban.com/subject/3742360/,2010,"剧情,喜剧,动作,西部"," 中国大陆 , 中国香港"," 汉语普通话 , 四川话 , 山西话",2010-12-16,132,320556,"59.6%,31.5%,7.9%,0.7%,0.3%",民国年间，花钱捐得县长的马邦德（葛优 饰）携妻（刘嘉玲 饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文 饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤 师爷。为汤师爷许下的财富所动，张麻子摇身一变化身县长，带着手下赶赴鹅城上任。有道是天高皇帝远，鹅城地处偏僻，一方霸主黄四郎（周润发 饰）只手遮天，全然不将这个新来的县长放在眼里。张麻子痛打了黄的武教头（姜武 饰），黄则设计害死张的义子小六（张默 饰）。原本只想赚钱的马邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。鹅城上空愁云密布，血雨腥风在所难免……,"https://img2.doubanio.com/view/photo/sqxs/public/p458738612.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2581578348.jpg",https://vt1.doubanio.com/202305231839/fafcb98ac81d002188ac6c41f8d461f7/view/movie/M/301070520.mp4
克里斯托弗·诺兰,9.4,盗梦空间,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,汤姆·哈迪,渡边谦",https://movie.douban.com/subject/3541415/,2010,"剧情,科幻,悬疑,冒险"," 美国 , 英国"," 英语 , 日语 , 法语",2010-09-01,148,398625,"72.4%,23.7%,3.5%,0.2%,0.1%",道姆·柯布（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）与同事阿瑟（约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰）和纳什（卢卡斯·哈斯 Lukas Haas 饰）在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲 Cillian Murphy 饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩 Michael Caine 饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉 Ellen Page 饰）、梦境演员艾姆斯（汤姆·哈迪 Tom Hardy 饰）和药剂师约瑟夫（迪利普·劳 Dileep Rao 饰）加入行动。在一层层...,"https://img9.doubanio.com/view/photo/sqxs/public/p603273604.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p616902142.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2180955876.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p616883918.jpg",https://vt1.doubanio.com/202305231839/af47da95aba3d3d2af59f90234173d20/view/movie/M/402640451.mp4
李帅帅,9.4,画江湖之不良人6,"边江,申秋香,赵毅,阎萌萌,赵述仁",https://movie.douban.com/subject/35801116/,2023,"动作,动画,武侠", 中国大陆, 汉语普通话,2023-03-02,28,16132,"79.4%,15.4%,3.3%,0.9%,1.0%",监国独揽朝政，漠北大军来势汹汹，岐国独木难支，且看李星云如何带领不良人绝地反击！,"https://img1.doubanio.com/view/photo/sqxs/public/p2888920278.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2870854351.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2888920274.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2889567465.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2888920276.jpg",0
"宮崎光代,杰克·施莱尔,李成真",8.7,怒呛人生,"史蒂文·元,黄阿丽,约瑟夫·李,扬·马齐诺,雷米·霍尔特",https://movie.douban.com/subject/35413042/,2023,"剧情,喜剧", 美国, 英语,2023-04-06,38,33498,"48.9%,39.8%,9.8%,1.1%,0.4%",该剧讲述了一起发生在两个陌生人之间的路怒事件。丹尼·周（史蒂文·元 饰）是一个失败的承包商，心中愤愤不平，与艾米·刘正面交锋；艾米·刘（黄阿丽 饰）是一位白手起家的企业家，有着独特的生活。在这部感人至深的黑色喜剧中，他们之间的恩怨日益加深，生活和关系也随之瓦解。,"https://img1.doubanio.com/view/photo/sqxs/public/p2890401168.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2889591331.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2889591329.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2890427420.jpg",https://vt1.doubanio.com/202305231839/33147103bb017731963d43d5ad60c23d/view/movie/M/403020050.mp4
韩寒,5.3,四海,"刘昊然,刘浩存,沈腾,尹正,乔杉",https://movie.douban.com/subject/35337517/,2022,"喜剧,动作,爱情", 中国大陆, 汉语普通话,2022-02-01,128,112126,"4.1%,14.4%,37.7%,31.6%,12.3%",在码头做摩托车特技表演顺便拉客的年轻人吴仁耀（刘昊然 饰），他多年不见的浪荡父亲吴仁腾（沈腾 饰）；梦想大城市生活的餐馆服务员周欢颂和他浮夸真诚的哥哥周欢歌。一支从没有赢过一场比赛的“不败传说”车队频频出战，一群可笑又可爱的小人物命运交织。阿耀和欢颂都立志活成自己亲人的反面，想彼此取暖，彼此独立，却又总不在一个频道上。世事无常，他们不得不背井离乡，迎接一场未知旅途，阿耀的一身技能竟会用在一个自己都意想不到的场合，他的亲情友情和爱情最终又将会是如何……,"https://img2.doubanio.com/view/photo/sqxs/public/p2641903793.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2642920777.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2641820700.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2641903804.jpg",https://vt1.doubanio.com/202305231839/c069ea2060a7ea043af53582b7077183/view/movie/M/402860335.mp4
刘镇伟,9.2,大话西游之大圣娶亲,"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛",https://movie.douban.com/subject/1292213/,1995,"喜剧,爱情,奇幻,古装"," 中国香港 , 中国大陆"," 粤语 , 汉语普通话",2014-10-24,95,255955,"67.0%,26.4%,5.8%,0.5%,0.3%",至尊宝（周星驰 饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵 饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。,"https://img9.doubanio.com/view/photo/sqxs/public/p2002648846.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2561638425.jpg",https://vt1.doubanio.com/202305231839/8b9d1c851bec1a8b7779ecb92fa5135c/view/movie/M/302150564.mp4
本·阿弗莱克,7.5,气垫传奇,"马特·达蒙,杰森·贝特曼,本·阿弗莱克,克里斯·梅西纳,维奥拉·戴维斯",https://movie.douban.com/subject/35738421/,2023,"剧情,传记,运动", 美国, 英语,2023-03-18,111,3389,"14.4%,48.8%,33.5%,2.8%,0.5%",讲述当年还是新人球员的迈克尔·乔丹，和耐克成立不久的篮球部门合作，凭着Air Jordan改写体育世界及流行文化。片中的故事感动人心，呈现一个不按牌理出牌的团队赌上一切、一位清楚知道自己儿子有着无比才华及巨大价值的母亲，以及一位将成为史上最伟大的篮球天才。,"https://img1.doubanio.com/view/photo/sqxs/public/p2889913060.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2887724921.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2889913059.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2889913055.jpg",https://vt1.doubanio.com/202305231839/6d89dee070b529fa740f5c57ac6023bb/view/movie/M/403010067.mp4
克里斯·哥伦布,9.2,哈利·波特与魔法石,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,艾伦·瑞克曼,玛吉·史密斯",https://movie.douban.com/subject/1295038/,2001,"奇幻,冒险"," 美国 , 英国", 英语,2002-01-26,152,184376,"65.1%,28.8%,5.7%,0.3%,0.1%",哈利波特是一个孤儿，从小寄养在姨妈家，受尽欺凌。但就在哈利11岁生日的时候，他意外收到了霍格沃茨学院的入学通知书。哈利从该学院派来接他的巨人海格口中得知，这是一间魔法学院，并得知了自己的身世，原来哈利的父母都是伟大的魔法师，在对付伏地魔的战斗中双双献身，唯有哈利幸免于难。,"https://img1.doubanio.com/view/photo/sqxs/public/p443406457.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p985583274.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p985570754.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p985582185.jpg",https://vt1.doubanio.com/202305231839/cb9ca6794996e5e8d99c579adf4be6bc/view/movie/M/402650003.mp4
刘江江,7.3,人生大事,"朱一龙,杨恩又,王戈,刘陆,罗京民",https://movie.douban.com/subject/35460157/,2022,"剧情,家庭"," 中国大陆 , 中国香港"," 武汉话 , 四川话 , 汉语普通话",2022-06-24,112,218476,"14.7%,43.4%,35.8%,5.0%,1.0%",殡葬师莫三妹（朱一龙 饰）在刑满释放不久后的一次出殡中，遇到了孤儿武小文（杨恩又 饰），小文的出现，意外地改变了莫三妹对职业和生活的态度。,"https://img1.doubanio.com/view/photo/sqxs/public/p2874639540.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2869487700.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2869854302.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2869487698.jpg",https://vt1.doubanio.com/202305231839/6c4902960325a1c501be09df8f45d8f9/view/movie/M/402910326.mp4
